gid,srand,Primary,Secondary,Internal,Antisense
b2174,+,2266848,[],[2267470],[2267591]
b2173,+,2265818,[2265639],[],"[2265826, 2266108, 2266549]"
b2172,+,2264236,[2263983],"[2264672, 2264834, 2265639]","[2264536, 2265826]"
b4502,-,2263353,[2263482],[],[]
b2170,+,2261861,[],[2262845],[]
b2169,-,2261616,[],[2260462],"[2260589, 2261425]"
b2168,-,2260462,[],"[2259883, 2260357]",[2259905]
b2166,-,2257412,[],[],[]
b2163,+,2253312,[2253110],[],[]
b2159,+,2248829,[],[2249363],"[2249125, 2249545]"
b2158,+,2247723,[],"[2247783, 2248001]","[2247664, 2247990, 2248545]"
b2157,-,2247664,[],"[2247202, 2247328]",[2247723]
b2156,-,2246582,[2246660],[],"[2245235, 2245893, 2246579]"
b2155,-,2244953,[2244964],"[2243011, 2243026, 2243462, 2243576, 2243801, 2244656]","[2244049, 2244193]"
b2153,-,2241821,[2241744],"[2241040, 2241458]",[2241435]
b2154,+,2241803,[2241807],[],[2242589]
b2152,-,2241040,[],[],[2239843]
b2151,-,2239732,[],[],"[2238626, 2238928, 2239012, 2239340]"
b2150,-,2238588,[],[],[]
b2147,+,2233110,[],[2234350],[2234143]
b2146,+,2231996,[],"[2232146, 2233110]","[2232025, 2232336, 2233134, 2233149]"
b2143,+,2229842,[2229688],[2230492],[2230067]
b2141,+,2228517,[2228625],[],[]
b2140,-,2228429,[2228507],"[2227547, 2227686, 2228320]",[]
b4679,+,2226980,[],[],[]
b2139,-,2226884,[],[2225803],[2225335]
b2137,-,2225318,[],[2225025],[2225335]
b2136,+,2223799,[],[],[]
b2135,-,2223686,[],"[2223087, 2223200, 2223465]",[]
b2134,-,2222963,[2223087],"[2222040, 2222276, 2222720]",[2222156]
b2133,+,2220176,[2220190],"[2220510, 2220945]","[2220220, 2220223, 2221665, 2221883]"
b2132,-,2220065,"[2220220, 2220223]","[2218109, 2218145, 2218637]","[2217774, 2217843, 2219315, 2219360]"
b2131,-,2217545,[],[],[]
b2129,-,2215604,[],[],[2215089]
b4542,+,2213659,[2213654],[],[2213668]
b2126,-,2212694,[],"[2211790, 2211826]","[2211400, 2211402]"
b2124,-,2210248,[],[2209889],[]
b2123,+,2208963,[],"[2209289, 2209598, 2209600]",[2209180]
b2119,+,2202424,[2202584],[],[2203586]
b2114,+,2192291,[],[2193160],"[2193420, 2194208]"
b2113,-,2192221,[],[],[]
b2112,-,2190865,"[2190900, 2191023]","[2190638, 2190747]",[2190866]
b2111,-,2190296,[],[],[]
b2107,+,2184952,"[2184813, 2184884]",[2185288],[2185275]
b2105,-,2183843,[],[],[2183561]
b2104,-,2183473,[],[],[]
b2102,-,2181720,[],[2181396],"[2181552, 2181639, 2181738]"
b2101,-,2180827,[],[],[2179995]
b2098,+,2176808,[2176599],[],[]
b2097,-,2176653,[],[],"[2176399, 2176599]"
b2096,-,2175303,[],[],"[2174598, 2175245]"
b2092,-,2172495,[],"[2171205, 2171517]",[2170984]
b4498,-,2168385,[2168387],[2167782],"[2168141, 2169361]"
b2088,+,2168141,[],[],"[2168385, 2168387]"
b2086,+,2166709,[],"[2166796, 2167251, 2167573]",[2166725]
b2085,-,2166371,[],[2166047],[2166145]
b2083,-,2166047,[],[],[2165836]
b2082,-,2165572,[],[],[2165297]
b4438,+,2165138,[2164964],[],[2165114]
b2081,+,2163617,[],[2164964],"[2163964, 2164324, 2165114]"
b2080,+,2163156,[],[],"[2163203, 2163434]"
b2079,+,2162270,[2162220],[2162780],[2162289]
b4668,-,2151851,[2151942],[],"[2151648, 2151670, 2151784]"
b2074,+,2151784,[2152003],[],[2151942]
b4437,+,2151648,[],"[2151670, 2151784]",[2151851]
b4667,-,2151523,[],"[2151420, 2151422]",[2151335]
b2073,-,2151422,[2151420],[],[2151201]
b4436,+,2151201,[],[2151335],"[2151420, 2151422, 2151523]"
b2069,+,2145672,[],"[2146163, 2146707, 2146742, 2147010]",[2145983]
b2068,-,2145583,[],"[2144862, 2145453]",[]
b2067,+,2141248,[2141228],[2141381],"[2141233, 2141813, 2142499, 2142915]"
b2066,-,2141028,[2141233],"[2140619, 2140672]",[2140415]
b2065,-,2140303,"[2140289, 2140311]",[],"[2139651, 2139671]"
b2063,+,2135887,[],[],[]
b2045,-,2116534,[],[],[]
b2042,-,2112375,"[2112440, 2112483, 2112609]",[2112122],"[2111640, 2111930]"
b2041,-,2111257,[2111135],[2110344],[2110331]
b2039,-,2109319,[],[2108698],"[2108876, 2109124]"
b2033,-,2103253,[2103184],"[2102541, 2102982]","[2102758, 2103207]"
b2032,-,2102541,[],[2101697],[]
b4571,-,2101697,[],"[2099637, 2099691, 2100973, 2101212]","[2099496, 2100989, 2101228]"
b2030,-,2100962,"[2100973, 2101212]",[2100926],[2100989]
b2029,-,2099348,[],[],"[2097800, 2098882]"
b2028,-,2097696,[],"[2096665, 2097565]","[2096414, 2096987, 2097467]"
b2027,-,2096355,[2096385],"[2095482, 2096076, 2096223]","[2095657, 2096101, 2096414]"
b2022,+,2091388,[],[2091588],[2091671]
b2018,+,2087989,"[2087780, 2087830]",[],"[2087970, 2088009]"
b2017,-,2087755,"[2087757, 2087970, 2088009]",[],"[2087412, 2087780, 2087830]"
b2016,-,2087176,"[2087187, 2087234]","[2086513, 2086587]","[2086529, 2086604, 2087199, 2087249]"
b2015,-,2086513,[],"[2085358, 2085704]",[2086138]
b4678,-,2085283,[2085358],[],"[2085083, 2085192]"
b2013,-,2083576,[],[],[2083445]
b2011,+,2080756,[],"[2081176, 2081684, 2081806]","[2081048, 2081161, 2081550, 2081754]"
b2009,-,2079350,[],[2078935],"[2079041, 2079170]"
b2008,-,2078743,[],"[2077698, 2077853, 2078595]","[2077520, 2078517]"
b2007,-,2077491,[2077533],[],[]
b2001,+,2072789,[],"[2072819, 2073779]","[2072764, 2072773, 2072795, 2073423, 2073854, 2074098]"
b2000,+,2069342,[],[],"[2070763, 2072079, 2072224, 2072259, 2072764, 2072773]"
b1999,+,2068595,[2068481],[],[2068686]
b4582,+,2068245,[],"[2068331, 2068481]","[2066699, 2068232]"
b1997,-,2068232,[],[2067920],"[2067746, 2068245]"
b1996,-,2067920,[],[2067734],"[2067092, 2067746]"
b4641,-,2066507,[2066699],[],[]
b4640,-,2065942,[],"[2065493, 2065658]","[2065617, 2065960, 2065999, 2066008]"
b1994,-,2065493,[2065372],[2065336],[]
b1993,-,2063871,[2064020],[2063512],[2063822]
b1992,-,2063512,[],"[2062762, 2062863, 2063136]",[]
b1991,-,2062762,[],[],[2061424]
b1990,-,2061377,[],"[2060563, 2060631, 2060678, 2060993, 2061222, 2061270]","[2060573, 2060696, 2061239, 2061424]"
b1989,+,2060284,[2060273],[],[]
b1987,-,2059142,[],"[2058126, 2058494, 2058791]","[2058289, 2058628, 2058680]"
b1986,+,2057866,[],[],[]
b1984,-,2056126,"[2056137, 2056142, 2056397]",[],[]
b1983,+,2054822,[],[2055587],[]
b1982,+,2053054,[],"[2053463, 2053658]","[2053180, 2053640]"
b1981,+,2051590,[2051390],"[2051783, 2051785, 2052162, 2052545, 2052572, 2052714]",[2051622]
b4497,-,2051382,[2051622],[2051283],"[2050461, 2050483, 2051195, 2051390]"
b1977,+,2042573,[2042562],[],[]
b1976,+,2041628,[],[2041984],"[2041589, 2041612, 2041729]"
b1975,-,2041589,"[2041612, 2041729]",[],"[2041439, 2041628]"
b1972,+,2038507,[],"[2038757, 2038981]",[2039207]
b1969,-,2036847,[2036858],[2036397],"[2036359, 2036430]"
b1968,-,2036397,[],"[2035678, 2035681, 2036044]",[2035564]
b1967,+,2033655,[2033804],[2034680],[]
b1962,-,2031123,[],"[2030578, 2030731]","[2030388, 2030574, 2030938]"
b1961,-,2030364,[2030578],[2029921],"[2029941, 2030098, 2030388]"
b1959,+,2027536,[],[2028307],[]
b1958,-,2027413,[],[],[]
b1957,-,2026420,[2026448],"[2026247, 2026350]","[2026122, 2026130, 2026218]"
b1956,-,2026106,"[2026115, 2026247]",[],"[2025834, 2026122, 2026130]"
b1954,-,2023368,[],[2023334],[]
b1952,-,2022978,[],[],[2022607]
b1953,+,2022951,[],[],"[2022978, 2023334]"
b1951,+,2021860,[],"[2022550, 2022607]",[2022507]
b1944,+,2017609,[],[],[2018087]
b1938,+,2011167,[],[],[2011804]
b4495,-,2010633,[],"[2009764, 2010078]","[2010091, 2010222]"
b1931,+,2007826,[2007655],[],[2007772]
b1929,+,2006264,[],"[2006511, 2007197]",[]
b1928,-,2006140,[],[],[]
b1927,+,2004156,[],"[2005020, 2005285]","[2004478, 2004627]"
b1924,+,2001838,"[2001649, 2001817, 2001860]",[],"[2002675, 2003203]"
b1923,-,2001699,[],[2001093],"[2000731, 2000772, 2000881, 2001043, 2001649]"
b1922,-,1999843,[1999831],[],"[1999334, 1999812]"
b1920,-,1998491,[1998434],[],"[1997611, 1997996, 1998414, 1998500]"
b1919,-,1997532,[],[],[1996502]
b1916,-,1994934,[1994917],[],"[1994258, 1994658, 1994904, 1994945]"
b1914,-,1993427,[],[1992900],[1992773]
b1913,-,1992900,[],[1991260],"[1991080, 1991147, 1991222, 1992437, 1992773]"
b1912,-,1990874,[],[],[]
b1911,-,1990207,[],[],[]
b1908,-,1989923,[1989673],[],[]
b1906,-,1987533,[1987586],[1987282],[]
b1905,+,1986706,[],[],"[1986707, 1987141, 1987156, 1987282]"
b1904,+,1986221,[1986112],[],[1986182]
b4663,-,1986088,[1986182],[1985940],[1985826]
b4537,-,1985940,[],[],"[1985567, 1985826]"
b1902,+,1984821,"[1984722, 1984771]",[],[]
b1901,-,1984263,[1984410],[1984028],[1983094]
b1897,-,1980464,[1980666],[],[1980151]
b1895,+,1977744,[1977692],[1977889],"[1978057, 1978221]"
b1894,-,1977257,"[1977299, 1977301]",[],[1977009]
b1892,-,1976419,[1976504],[],[1976200]
b1890,-,1975324,[],[],"[1974338, 1975162, 1975164]"
b1886,-,1970739,[],[],[1970298]
b1880,-,1964239,[1964241],[],[]
b1875,-,1958006,[],"[1957620, 1957760]",[]
b1872,-,1955219,[],"[1952657, 1953439, 1953710]","[1952528, 1953608, 1953613, 1955083, 1955117]"
b1871,+,1951180,[1951445],[],[]
b1870,+,1950701,"[1950455, 1950562]","[1951180, 1951445]","[1950842, 1950956, 1951114]"
b1869,+,1950260,[],"[1950455, 1950562]","[1950229, 1950264]"
b1868,+,1949233,[],[],"[1949787, 1950021, 1950229, 1950264]"
b1867,+,1948796,[],[1949233],[1948904]
b1866,-,1948641,"[1948726, 1948736]","[1947031, 1947064, 1947115, 1947511, 1947910, 1948108]","[1946792, 1948545]"
b1863,-,1945623,[],[],[1945490]
b1861,-,1944032,"[1944116, 1944118]","[1943474, 1943917]","[1943818, 1943949, 1944049]"
b1860,-,1943474,[],[],[]
b1859,+,1941172,[],"[1941449, 1942211]",[1941370]
b1858,+,1940658,"[1940435, 1940582, 1940614]",[1941172],"[1940636, 1940670, 1941313, 1941370]"
b1857,-,1940636,[1940670],"[1940050, 1940106, 1940167]","[1939944, 1940435, 1940582, 1940614, 1940658]"
b1854,+,1935518,[1935428],[1936398],"[1935585, 1935658, 1936041]"
b1852,-,1934427,[],"[1933034, 1933222, 1933816]","[1933486, 1933514, 1934392]"
b1853,+,1934392,[1934614],"[1935173, 1935372, 1935428, 1935518]","[1934908, 1934942, 1935150, 1935183, 1935585]"
b1851,-,1932738,[],"[1931066, 1931130]",[]
b1850,-,1931066,[],[],[]
b1849,+,1928881,[],"[1929091, 1929931]","[1929075, 1929129, 1929751, 1929873, 1930136]"
b1846,-,1927758,[1927782],"[1927159, 1927715]",[1927800]
b1845,-,1927159,"[1926889, 1926942]","[1924847, 1925330, 1925438, 1925723, 1926293, 1926443, 1926659]",[1926870]
b1844,+,1924123,[1924114],[1924602],"[1924555, 1924778, 1924847]"
b1843,+,1923413,"[1923390, 1923425]",[1924114],[]
b1842,+,1923110,[],[],"[1923089, 1923331]"
b1841,-,1923089,[],[],[]
b4433,-,1921550,[1921526],"[1921230, 1921234]",[1921090]
b1838,-,1921178,"[1921230, 1921234]","[1920390, 1920601]","[1920247, 1920820, 1920897, 1921036, 1921078, 1921090]"
b4432,+,1921090,"[1920820, 1920897, 1921036, 1921078]",[],"[1921178, 1921230, 1921234]"
b1837,+,1920109,[1920121],[1920247],"[1920229, 1920282, 1920390]"
b1836,+,1919751,[],[],[1920016]
b1835,+,1918220,[],"[1918977, 1919442]",[]
b1834,+,1915265,"[1915256, 1915263]","[1915721, 1916605]",[1916090]
b1833,+,1914258,"[1914167, 1914199, 1914252]","[1914399, 1914421, 1915256, 1915263, 1915265]","[1914190, 1914283, 1915065, 1915293]"
b1832,-,1914190,[1914283],[1913954],"[1914167, 1914199, 1914252]"
b1831,-,1913606,[],[1913045],[1912778]
b1830,-,1913045,[],"[1911106, 1911914]","[1910780, 1912615, 1912778]"
b1829,-,1910642,[1910662],[],[]
b1828,+,1908185,[1908267],"[1908752, 1908851]",[]
b1827,-,1908162,[],[],[1908185]
b1825,-,1906591,[1906634],[],[1906609]
b1824,-,1905817,"[1905641, 1905660]",[],[1905512]
b1822,-,1905108,[1905163],"[1904500, 1904623]",[1904467]
b1821,+,1903486,[],[1904167],[]
b1820,+,1902561,[],[],[1902768]
b1819,+,1901625,[],[1902561],"[1901927, 1902227, 1902768]"
b1817,+,1899959,[1899787],"[1900096, 1900654]","[1900043, 1900728, 1901102, 1901134]"
b1816,-,1899857,"[1899642, 1899796]","[1898217, 1898383]",[]
b1815,+,1896407,[1896252],[1896602],[1897162]
b1814,+,1894907,"[1894742, 1894787]","[1895120, 1896104, 1896252]",[1895920]
b1812,+,1892781,[],[1893630],"[1893273, 1893674, 1894154]"
b1810,+,1892041,"[1891867, 1892122]",[],"[1892083, 1892412]"
b1809,+,1891305,[1891257],[],[]
b1808,-,1891279,[],"[1889790, 1890719]","[1890993, 1891257, 1891305]"
b1807,-,1889319,[],[],[]
b1806,-,1888584,[],[1888004],"[1887918, 1888182]"
b1805,-,1888004,[],[1886625],"[1886723, 1886939, 1887614, 1887649]"
b1801,+,1881168,[1881175],[],[]
b1800,+,1879901,[],[1880112],"[1879873, 1881003]"
b1799,-,1879873,[],[],[1879901]
b1798,-,1878824,[1878829],[1878495],"[1878277, 1878560]"
b4675,+,1876806,[],[1876945],[1876840]
b1793,-,1875669,[],[],[1875591]
b1794,+,1875591,[],"[1876365, 1876423]","[1875669, 1876186, 1876339, 1876577, 1876840]"
b1790,-,1873622,[],[1873280],[]
b1789,+,1872347,[],[],[1872329]
b1788,-,1872329,[],[],[]
b1786,+,1869995,[1869939],"[1870598, 1870825, 1871133, 1871241]",[1870978]
b1784,+,1866839,[],[],"[1867851, 1868122, 1868360]"
b1783,+,1864771,[1864921],"[1864940, 1866839]","[1864928, 1865413, 1865819]"
b1782,-,1864530,[],"[1864256, 1864361]",[]
b1781,-,1863677,[],"[1862850, 1862994, 1863300, 1863314, 1863323]",[1863428]
b1779,+,1860641,"[1860550, 1860621, 1860759]",[1861010],[1861625]
b1778,-,1860488,[],[],"[1859990, 1860550]"
b1770,-,1852910,[],"[1852377, 1852675]",[1852201]
b1768,+,1849687,[],"[1850204, 1850259, 1850427]","[1850576, 1850587]"
b1767,+,1848859,[1848734],"[1849154, 1849687]","[1848942, 1849336, 1849339]"
b1766,+,1846816,[1846762],[1847170],"[1847422, 1847862]"
b1765,-,1846727,[],[],[1846762]
b1764,-,1846054,[],[],[]
b1762,-,1842924,[],"[1841941, 1842080, 1842409, 1842586]","[1841769, 1842052, 1842532]"
b1761,+,1840332,[],[],"[1840306, 1840346]"
b1760,-,1840306,[1840346],[],[]
b1759,+,1839485,[],[],"[1839433, 1839466, 1839469]"
b1758,-,1839469,"[1839433, 1839466]","[1839116, 1839324]",[1839485]
b1757,+,1837484,[1837463],[1838483],[1838466]
b1756,+,1836717,[],[],[]
b1753,+,1833335,[],[],[]
b1750,+,1831369,[],[],"[1831940, 1831993]"
b1749,+,1830423,[1830259],[1830665],[1830921]
b1748,-,1830063,[],[],"[1829974, 1830056]"
b1743,-,1823864,[],"[1823218, 1823265]",[]
b1742,-,1823131,"[1823006, 1823031, 1823218]",[1822433],"[1822800, 1823003]"
b1741,+,1821516,[],[],"[1821678, 1822433]"
b1740,+,1820452,[],"[1820597, 1820812]",[]
b1739,-,1820307,[],[1820184],[]
b1738,-,1819750,[1819772],[],[]
b1735,-,1817581,[],[1817330],[]
b1733,-,1815382,[],[1815085],[]
b1732,+,1811837,[],[],[1811864]
b1731,-,1811726,[1811864],[],[]
b1730,-,1811278,[],[1810427],[1811221]
b1729,+,1808906,[],"[1809165, 1809438, 1809698, 1809807]","[1808927, 1810427]"
b1728,+,1808211,[1808005],[],"[1808188, 1808221]"
b1727,+,1807348,[1807303],[1808005],"[1807374, 1807851]"
b1726,-,1807286,[1807374],[1807029],"[1807088, 1807303, 1807348]"
b1725,+,1805794,[1805740],[],"[1806214, 1806583]"
b1724,+,1805399,[],[],"[1805466, 1805531]"
b1723,+,1804376,[],"[1804453, 1804676]",[]
b1722,-,1804192,[],[],[1803269]
b4535,+,1803160,[],[1803269],[]
b1719,-,1800756,[],"[1798843, 1798953, 1799370, 1799734, 1799792, 1800417, 1800585]","[1798817, 1798966, 1799393, 1800330]"
b1718,-,1798843,[1798953],[1798452],[]
b1715,-,1797326,[],[],[1797289]
b1712,-,1793744,[],[1793542],[1793192]
b1711,-,1793201,[],"[1792705, 1792773]","[1792799, 1793192]"
b1710,-,1792167,[],[1791687],[1791613]
b1709,-,1791687,[],[],"[1790832, 1790835, 1791613]"
b1708,-,1790784,[],[],"[1790299, 1790832, 1790835]"
b1707,-,1790180,[],[],[1789676]
b1706,-,1789278,[],[1789160],[1789178]
b1705,+,1787609,[],[],[]
b1704,+,1786408,[1786345],[1787188],"[1787139, 1787179]"
b1703,+,1785444,[],[1786047],"[1785435, 1785702]"
b1702,-,1785185,[1785435],"[1784140, 1784287, 1784501]","[1783558, 1783741, 1784074, 1785165]"
b1699,+,1779293,[],"[1779688, 1780384]",[]
b1696,-,1777463,[],"[1776475, 1776522]",[1776332]
b1693,+,1772595,[],[1772769],[]
b1691,+,1770474,[],[],[]
b1689,+,1768611,[],[],[1768593]
b4431,+,1768396,[],[],[1768593]
b1688,+,1767036,[1767001],[1767949],[]
b1687,-,1766938,[],"[1763868, 1763957, 1764457]","[1764988, 1766080, 1766422, 1766618, 1766760]"
b1686,-,1763868,[],[],[]
b1685,-,1763170,[],[],"[1762965, 1763071, 1763077]"
b1684,-,1762527,[],[],[]
b1678,-,1756888,[],[1755997],[1756434]
b1677,+,1755407,[1755249],[],"[1755392, 1755419, 1755659]"
b1676,+,1753493,[1753624],[1753920],"[1754009, 1754310, 1754483]"
b1675,-,1753189,"[1753255, 1753260, 1753408]",[],[1752898]
b1674,-,1752667,[],[],[]
b1668,+,1745115,[],[1745751],"[1745107, 1745883, 1746009, 1746233, 1746570]"
b1666,+,1744540,[],[],[]
b1665,+,1744441,[],[],[]
b1664,-,1744188,[1744186],"[1742954, 1744016]",[]
b1662,-,1741480,[1741440],[],[]
b1663,+,1741400,[],"[1741823, 1741872, 1742019, 1742662, 1742704]","[1741440, 1741480, 1742954]"
b1661,+,1739225,"[1739206, 1739404]","[1739994, 1740244]","[1739457, 1740078, 1740174, 1740378, 1740613]"
b1659,-,1737851,[1737921],"[1737314, 1737759]",[]
b1658,+,1735712,[1735665],"[1736007, 1736700]",[1736704]
b1657,-,1735360,[],[1734466],[]
b1656,+,1733349,[],[1733844],[1733376]
b1655,+,1732405,"[1732169, 1732230, 1732383]",[1732993],"[1732771, 1733024]"
b1654,-,1732160,"[1732186, 1732213, 1732284]","[1731864, 1731961]",[1732169]
b1653,+,1727070,[],"[1727793, 1729217, 1730071, 1731514]","[1728546, 1731104, 1731357]"
b1652,+,1726343,[],[],[]
b1651,+,1725824,[1725732],[],[1725908]
b1650,+,1724664,[],"[1725171, 1725732]",[1724613]
b1649,+,1723973,[1724047],[],"[1723969, 1724613]"
b1648,-,1723969,[],[],[1723973]
b1647,-,1723679,[],"[1722852, 1723484]",[]
b1646,-,1722852,[],[1722158],[]
b1644,+,1719055,[],[],[]
b1643,+,1718906,"[1718750, 1718872]",[1719055],[1719001]
b1642,-,1718903,"[1718920, 1719001]",[1718434],"[1718452, 1718750, 1718872, 1718906]"
b1641,+,1717801,[1717776],[],"[1717973, 1718255, 1718434]"
b1640,-,1717720,[1717717],[],[1716894]
b1639,-,1716465,[],[],[1716320]
b1638,-,1716058,[],[1715640],[1715328]
b1637,-,1715311,"[1715326, 1715356]",[1714588],[1715328]
b1635,+,1712376,[1712121],[],"[1712364, 1712463]"
b1634,+,1710698,[],"[1711938, 1712121]",[1712364]
b1627,+,1703768,[1703555],[1704034],[]
b1626,+,1703230,[],[1703555],"[1703214, 1703364, 1703530]"
b1625,+,1702788,[],[],"[1702878, 1703050, 1703214]"
b4409,+,1702536,"[1702412, 1702522]",[],[]
b1624,-,1702355,"[1702470, 1702474]",[1701640],"[1701664, 1701669, 1702412]"
b1623,+,1700228,[1700226],[1701088],"[1700262, 1700341, 1701108]"
b1622,+,1698864,[1698966],"[1698987, 1699285, 1699488]",[]
b1621,+,1697338,[],"[1697490, 1697573, 1698269, 1698864, 1698966]","[1697510, 1698535, 1698879]"
b1620,-,1697265,[],"[1696302, 1696445, 1696566]",[]
b1619,-,1696146,[1696302],"[1695782, 1695785]",[1695471]
b1618,-,1695098,[],[],"[1694995, 1695083]"
b1616,-,1692584,[],"[1691233, 1691988, 1692048]",[1691517]
b1614,+,1687818,[1687602],[],"[1687781, 1688043, 1689110]"
b1613,+,1686569,"[1686389, 1686557]","[1687327, 1687602]","[1687258, 1687781]"
b1612,-,1686471,[],"[1685634, 1685710]",[1686389]
b1611,-,1684674,[1684745],[1683271],[1683211]
b1610,+,1682257,[],[1683211],"[1682799, 1682813, 1683271]"
b1608,+,1680160,[1680155],[],"[1680084, 1680120, 1680436, 1680593]"
b1607,-,1680084,[1680120],[],[1679752]
b1606,+,1678785,[1678893],[1679411],[1679398]
b1605,+,1677504,[1677333],"[1678785, 1678893]","[1678773, 1678868]"
b1604,+,1676394,[1676257],[1677333],[1676853]
b1603,-,1676038,[1676050],[],[1675004]
b1601,+,1671914,[],"[1672083, 1672793]",[1672349]
b1600,-,1671802,[],"[1671505, 1671510]",[1671561]
b1598,+,1669940,[],[],"[1669891, 1670382]"
b1597,+,1669197,[1669351],[],[]
b1596,+,1667686,[],"[1668571, 1668842, 1668844, 1668891]",[1667640]
b1595,-,1667640,[],[1667577],"[1666639, 1667686]"
b1593,-,1665294,[],[1664913],"[1665032, 1665090, 1665273]"
b1592,+,1663154,[],"[1663881, 1663968, 1664401]",[1664456]
b1591,+,1662331,[],[],[1663148]
b1590,+,1661369,[],"[1661677, 1661964, 1662331]",[1662279]
b1587,+,1656027,[],"[1656568, 1657299, 1657356]","[1657262, 1657331, 1657665, 1657707, 1658506]"
b1586,+,1655563,[],[],"[1655507, 1655731, 1655790, 1655892, 1655945]"
b1585,-,1655507,[1655731],"[1654908, 1655121, 1655123]","[1654937, 1655563]"
b1583,+,1653749,"[1653692, 1653733]",[],[]
b1581,-,1653358,[],[],"[1651938, 1651953, 1652064]"
b1578,+,1648783,[],[],[1649445]
b1575,+,1647478,[],[],[]
b1574,+,1647275,[1647136],[],[]
b1571,+,1646462,[],[],[1646767]
b1569,-,1645949,[1645962],[1645706],[]
b1568,-,1645706,[],[],"[1645315, 1645401]"
b1566,+,1644409,[],[],[1644332]
b1564,-,1644097,[],[],[]
b1561,-,1642997,[1643071],"[1642877, 1642890]",[]
b1558,+,1639856,[],[1639899],"[1639837, 1639855]"
b1557,-,1639739,"[1639607, 1639837, 1639855]",[],[]
b1554,-,1638332,[],[],[1637815]
b1552,-,1636836,[],[],[1636430]
b1551,-,1636322,[],[1636043],[1636106]
b1550,-,1635870,[1636043],[],[]
b1549,+,1635046,[],[],[1635079]
b1547,-,1633917,[],[],[1633167]
b1545,+,1631622,[],[],"[1632142, 1632302]"
b1542,-,1629146,[],"[1627572, 1628015, 1628706]",[]
b1541,+,1627192,[],[1627302],[]
b1540,+,1626350,[1626231],[],[1626421]
b1539,+,1625451,[1625243],"[1625688, 1625769, 1625790, 1625913, 1626231]",[]
b1538,-,1625426,[1625428],"[1623389, 1623482, 1623643, 1624319]","[1624336, 1625237, 1625243, 1625451]"
b1535,-,1621901,[],[1621358],[1620921]
b4698,-,1620938,"[1620942, 1620949]",[],[1620921]
b1534,+,1619314,[],[1619823],"[1619575, 1619619, 1620422]"
b1533,-,1619191,[],"[1618849, 1619008]","[1618223, 1619007]"
b1530,+,1617117,[1616938],[],"[1617246, 1617544]"
b1529,-,1616964,[],"[1616296, 1616414, 1616691]","[1616286, 1616938]"
b1528,+,1615019,[],"[1615838, 1615861]","[1614975, 1614986, 1616296]"
b1527,+,1613747,[],[1614749],"[1614975, 1614986]"
b1525,-,1612869,[],"[1611357, 1611359, 1611894]","[1611950, 1612590, 1612804]"
b1526,+,1612590,[1612804],[],[1612869]
b1524,-,1611305,"[1611357, 1611359]",[1610604],[]
b1523,-,1610604,[],[],"[1609932, 1609965]"
b1522,-,1609908,[1609885],[1608995],"[1609511, 1609932, 1609965]"
b1521,-,1608748,[1608995],[],[]
b1520,-,1607122,"[1607070, 1607130]","[1606501, 1606820]","[1606089, 1606996]"
b1519,+,1605347,[],"[1605411, 1606089]","[1605320, 1605864]"
b1516,+,1602776,[],[1603499],"[1603188, 1604112, 1604132, 1604138]"
b1515,+,1601961,[],"[1602771, 1602776]","[1602118, 1602389]"
b1513,+,1599413,[1599310],[],[1600992]
b1512,-,1599384,[],[],"[1598940, 1599310]"
b1508,-,1590504,[],[1590388],"[1590325, 1590521]"
b1507,-,1590388,[],[],[]
b1505,-,1588175,[],[],"[1586864, 1587285, 1587743]"
b1501,-,1584688,[],"[1582423, 1582455, 1582796]","[1583126, 1583397]"
b1497,-,1578997,[],"[1577736, 1577758]","[1578689, 1578695, 1578907]"
b1496,-,1577372,[],[1576223],"[1575756, 1577447]"
b1493,-,1570097,[],[1569420],[1569099]
b1491,-,1566874,"[1566935, 1567118]",[],[1566112]
b1490,-,1565318,[],"[1564019, 1564937]",[1564042]
b1489,-,1564019,[],[1562302],"[1561522, 1562216, 1563292]"
b1488,-,1561220,[],[],[1561026]
b1486,-,1558958,[],[],[]
b1482,+,1554624,"[1554497, 1554516, 1554621]",[1555008],[]
b1481,-,1554363,[],[1554112],[1554301]
b1480,-,1554071,"[1554085, 1554112]",[],[]
b1479,-,1553763,[],"[1552322, 1552529]","[1552340, 1553393]"
b1477,-,1550959,[],[],[1550760]
b1474,+,1545380,[],[1545922],[1545603]
b1473,-,1545230,[],"[1544749, 1545120]",[]
b1469,-,1542187,[],[1541788],[1541564]
b1464,-,1533902,[],"[1533082, 1533611]",[]
b1462,-,1531928,[],"[1531366, 1531844]",[1531854]
b1463,+,1531854,[],[1532233],[1532763]
b1459,+,1528575,[],[],[1528915]
b1457,+,1527915,[],[],"[1527895, 1528452]"
b1455,+,1524763,[],[],[]
b1454,+,1524249,[1524008],[1524763],[1524315]
b1453,-,1524118,[],"[1522618, 1522919, 1523105, 1523262]",[1524008]
b1452,+,1521251,[1521197],[],[]
b1451,-,1521118,[1521181],"[1519100, 1519258, 1519502, 1520314]",[1519234]
b1450,+,1518158,[1518067],[1518294],[1518897]
b1449,+,1517023,[],[1518067],"[1517354, 1517890]"
b1448,-,1516897,[],[],[]
b1445,+,1515287,[1515384],[],[1515618]
b4598,-,1515240,[1515271],[],[1515287]
b1440,+,1509620,[1509521],[1510242],[]
b1439,+,1507739,"[1507999, 1508002]",[1508202],"[1508185, 1509281, 1509500]"
b4532,+,1507299,[1507153],[],[]
